title,date,notes,bunting
New Year's Day,2010-01-01,,
Good Friday,2010-04-02,,
Easter Monday,2010-04-05,,
Early May bank holiday,2010-05-03,,
Spring bank holiday,2010-05-31,,
Summer bank holiday,2010-08-30,,
Christmas Day substitute,2010-12-27,,
Boxing Day substitute,2010-12-28,,
New Year's Day substitute,2011-01-03,,
Good Friday,2011-04-22,,
Easter Monday,2011-04-25,,
Royal Wedding,2011-04-29,,
Early May bank holiday,2011-05-02,,
Spring bank holiday,2011-05-30,,
Summer bank holiday,2011-08-29,,
Christmas Day substitute,2011-12-26,,
Boxing Day substitute,2011-12-27,,
New Year's Day substitute,2012-01-02,,
Good Friday,2012-04-06,,
Easter Monday,2012-04-09,,
Early May bank holiday,2012-05-07,,
Spring bank holiday,2012-06-04,,
Diamond Jubilee,2012-06-05,,
Summer bank holiday,2012-08-27,,
Christmas Day,2012-12-25,,
Boxing Day,2012-12-26,,
New Year's Day,2013-01-01,,
Good Friday,2013-03-29,,
Easter Monday,2013-04-01,,
Early May bank holiday,2013-05-06,,
Spring bank holiday,2013-05-27,,
Summer bank holiday,2013-08-26,,
Christmas Day,2013-12-25,,
Boxing Day,2013-12-26,,
New Year's Day,2014-01-01,,
Good Friday,2014-04-18,,
Easter Monday,2014-04-21,,
Early May bank holiday,2014-05-05,,
Spring bank holiday,2014-05-26,,
Summer bank holiday,2014-08-25,,
Christmas Day,2014-12-25,,
Boxing Day,2014-12-26,,
New Year's Day,2015-01-01,,
Good Friday,2015-04-03,,
Easter Monday,2015-04-06,,
Early May bank holiday,2015-05-04,,
Spring bank holiday,2015-05-25,,
Summer bank holiday,2015-08-31,,
Christmas Day,2015-12-25,,
Boxing Day substitute,2015-12-28,,
New Year's Day,2016-01-01,,
Good Friday,2016-03-25,,
Easter Monday,2016-03-28,,
Early May bank holiday,2016-05-02,,
Spring bank holiday,2016-05-30,,
Summer bank holiday,2016-08-29,,
Christmas Day substitute,2016-12-27,,
Boxing Day substitute,2016-12-28,,
New Year's Day substitute,2017-01-02,,
Good Friday,2017-04-14,,
Easter Monday,2017-04-17,,
Early May bank holiday,2017-05-01,,
Spring bank holiday,2017-05-29,,
Summer bank holiday,2017-08-28,,
Christmas Day,2017-12-25,,
Boxing Day,2017-12-26,,
New Year's Day,2018-01-01,,
Good Friday,2018-03-30,,
Easter Monday,2018-04-02,,
Early May bank holiday,2018-05-07,,
Spring bank holiday,2018-05-28,,
Summer bank holiday,2018-08-27,,
Christmas Day,2018-12-25,,
Boxing Day,2018-12-26,,
New Year’s Day,2019-01-01,,True
Good Friday,2019-04-19,,False
Easter Monday,2019-04-22,,True
Early May bank holiday,2019-05-06,,True
Spring bank holiday,2019-05-27,,True
Summer bank holiday,2019-08-26,,True
Christmas Day,2019-12-25,,True
Boxing Day,2019-12-26,,True
New Year’s Day,2020-01-01,,True
Good Friday,2020-04-10,,False
Easter Monday,2020-04-13,,False
Early May bank holiday (VE day),2020-05-08,,True
Spring bank holiday,2020-05-25,,True
Summer bank holiday,2020-08-31,,True
Christmas Day,2020-12-25,,True
Boxing Day,2020-12-28,Substitute day,True
New Year’s Day,2021-01-01,,True
Good Friday,2021-04-02,,False
Easter Monday,2021-04-05,,True
Early May bank holiday,2021-05-03,,True
Spring bank holiday,2021-05-31,,True
Summer bank holiday,2021-08-30,,True
Christmas Day,2021-12-27,Substitute day,True
Boxing Day,2021-12-28,Substitute day,True
New Year’s Day,2022-01-03,Substitute day,True
Good Friday,2022-04-15,,False
Easter Monday,2022-04-18,,True
Early May bank holiday,2022-05-02,,True
Spring bank holiday,2022-06-02,,True
Platinum Jubilee bank holiday,2022-06-03,,True
Summer bank holiday,2022-08-29,,True
Bank Holiday for the State Funeral of Queen Elizabeth II,2022-09-19,,False
Boxing Day,2022-12-26,,True
Christmas Day,2022-12-27,Substitute day,True
New Year’s Day,2023-01-02,Substitute day,True
Good Friday,2023-04-07,,False
Easter Monday,2023-04-10,,True
Early May bank holiday,2023-05-01,,True
Bank holiday for the coronation of King Charles III,2023-05-08,,True
Spring bank holiday,2023-05-29,,True
Summer bank holiday,2023-08-28,,True
Christmas Day,2023-12-25,,True
Boxing Day,2023-12-26,,True
New Year’s Day,2024-01-01,,True
Good Friday,2024-03-29,,False
Easter Monday,2024-04-01,,True
Early May bank holiday,2024-05-06,,True
Spring bank holiday,2024-05-27,,True
Summer bank holiday,2024-08-26,,True
Christmas Day,2024-12-25,,True
Boxing Day,2024-12-26,,True
New Year’s Day,2025-01-01,,True
Good Friday,2025-04-18,,False
Easter Monday,2025-04-21,,True
Early May bank holiday,2025-05-05,,True
Spring bank holiday,2025-05-26,,True
Summer bank holiday,2025-08-25,,True
Christmas Day,2025-12-25,,True
Boxing Day,2025-12-26,,True
New Year’s Day,2026-01-01,,True
Good Friday,2026-04-03,,False
Easter Monday,2026-04-06,,True
Early May bank holiday,2026-05-04,,True
Spring bank holiday,2026-05-25,,True
Summer bank holiday,2026-08-31,,True
Christmas Day,2026-12-25,,True
Boxing Day,2026-12-28,Substitute day,True
New Year’s Day,2027-01-01,,True
Good Friday,2027-03-26,,False
Easter Monday,2027-03-29,,True
Early May bank holiday,2027-05-03,,True
Spring bank holiday,2027-05-31,,True
Summer bank holiday,2027-08-30,,True
Christmas Day,2027-12-27,Substitute day,True
Boxing Day,2027-12-28,Substitute day,True
New Year’s Day,2028-01-03,Substitute day,True
Good Friday,2028-04-14,,False
Easter Monday,2028-04-17,,True
Early May bank holiday,2028-05-01,,True
Spring bank holiday,2028-05-29,,True
Summer bank holiday,2028-08-28,,True
Christmas Day,2028-12-25,,True
Boxing Day,2028-12-26,,True
